MALWARE_DETECTION
A4S_SEND
ACCESS
ACCESSORY_FILE_TRANSFER
ACCESSORY_FRAMEWORK
ACCESS_4G_STATE
ACCESS_AF_SERVICE
ACCESS_AGENT_SERVICE
ACCESS_ALBUM_BACKUP_LIST
ACCESS_ALL_DOWNLOAD
ACCESS_ALL_DOWNLOADS
ACCESS_ALL_EXTERNAL_STORAGE
ACCESS_ASSISTED_GPS
ACCESS_ATTACHMENTS
ACCESS_BACKGROUND_SERVICE
ACCESS_BACKSCREEN
ACCESS_BOOKMARKS
ACCESS_BT_HEART_RATE_MONITOR
ACCESS_CACHE_FILESYSTEM
ACCESS_CELL_ID
ACCESS_CHECKIN_PROPERTIES
ACCESS_COARSE
ACCESS_COARSE_LOCATION
ACCESS_COARSE_UPDATES
ACCESS_CORSE_LOCATION
ACCESS_COURSE_LOCATION
ACCESS_DATA
ACCESS_DEVICE_STATS
ACCESS_DOWNLOAD_MANAGER
ACCESS_DOWNLOAD_MANAGER_ADVANCED
ACCESS_EAS_SERVICE
ACCESS_EVENTS
ACCESS_FIND_LOCATION
ACCESS_FINE_LOCATION
ACCESS_GPS
ACCESS_KEY_APP
ACCESS_LAUNCHER_DATA
ACCESS_LICENSE_STATE
ACCESS_LOCATION
ACCESS_LOCATION_EXTRA_COMMANDS
ACCESS_MOCK_LOCATION
ACCESS_MTK_MMHW
ACCESS_NETWORK
ACCESS_NETWORK)STATE
ACCESS_NETWORK_CHANGE
ACCESS_NETWORK_LOCATION
ACCESS_NETWORK_STATE
ACCESS_NORTON_SECURITY
ACCESS_NOTIFICATION_SERVICE
ACCESS_PHONE_STATE
ACCESS_PHONE_SUB_INFO
ACCESS_PROVIDER
ACCESS_PUSHAGENT
ACCESS_RA
ACCESS_SECRETS
ACCESS_SENSITIVE_DATA
ACCESS_SHARED_DATA
ACCESS_START_SVC
ACCESS_SUPERUSER
ACCESS_SURFACE_FLINGER
ACCESS_SYMANTEC_SECURITY
ACCESS_UPDATER_DATA
ACCESS_VR
ACCESS_WAKE_LOCK
ACCESS_WEB_PAGES
ACCESS_WIFI_AUTONOMOUS
ACCESS_WIFI_STATE
ACCESS_WIMAX_STATE
ACCES_NETWORK_STATE
ACCOUNTS
ACCOUNT_INFO_ALARM_TRIGGER
ACCOUNT_MANAGER
ACCOUNT_NOTICE
ACTION_BOOT_COMPLETED
ACTION_CALL
ACTION_CALL_PRIVILEGED
ACTION_DIAL
ACTION_EXTERNAL_APPLICATIONS_AVAILABLE
ACTION_HEADSET_PLUG
ACTION_IMAGE_CAPTURE
ACTION_LOCATION_SOURCE_SETTINGS
ACTION_MEDIA_MOUNTED
ACTIVITY_POSTING
ACTIVITY_RECOGNITION
ADDON
ADDONS
ADDON_BAR_BADGE
ADD_ACCOUNTS
ADD_FRIEND_AND_START_CHAT
ADD_SYSTEM_SERVICE
ADD_VOICEMAIL
ADVANCED_APPMODE
ADVANCED_WIDGET_API
ALLSHARE_CAST_SERVICE
ALL_SERVICES
AM_COMMUNICATION
ANSWER_PHONE
ANT
ANTRADIO
ANT_ADMIN
AOM_KEEPALIVE
AOM_MESSAGE
AOM_RECEIVE
API
APP
APPLICATION_INTERFACE
APPWRAPPERCONTENTPROVIDER
APP_DEFAULT
APP_MEDIA
APP_STATE
ATTACHMENT
AUDIO_FILE_ACCESS
AUTHENTICATE
AUTHENTICATE_ACCOUNTS
AUTHORIZATION
AUTHORIZATION_PROVIDER
AUTH_APP
AUTH_SDK
AUTOCOMPLETE
AUTOKILLER_LICENSE_SERVICE
AUTO_REGISTRATION_RETRY
AUTO_SEND
AVIARY
AV_APP_CTRL_MODE
Account
AccountAuthenticator
